t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,dyaw,power,mode_xy,mode_z
1.250000,1.416765743,1.248859777,1.783412807,1.501418660,1.192474458,-0.061163730,-0.984530414,-1.258422418,0.646033966,-0.174327983,-0.133445370,-0.067849043,0.000000000,0.000000000,true,0,0
1.260000,1.431730680,1.260721584,1.782833458,1.491566762,1.179885681,-0.054707499,-0.985638412,-1.259122565,0.645140965,-0.047873184,-0.007174628,-0.110606455,0.000000000,0.000000000,true,0,0
1.270000,1.446597063,1.272457488,1.782318620,1.481710047,1.167296156,-0.048262322,-0.985499906,-1.258577726,0.643824730,0.074972916,0.115551673,-0.152495777,0.000000000,0.000000000,true,0,0
1.280000,1.461364906,1.284067545,1.781868161,1.471860799,1.154718158,-0.041832387,-0.984150983,-1.256823346,0.642093943,0.194210315,0.234733533,-0.193517010,0.000000000,0.000000000,true,0,0
1.290000,1.476034343,1.295551930,1.781481908,1.462030942,1.142163603,-0.035421796,-0.981627729,-1.253894870,0.639957284,0.309839015,0.350370953,-0.233670154,0.000000000,0.000000000,true,0,0
1.300000,1.490605628,1.306910934,1.781159647,1.452232039,1.129644056,-0.029034565,-0.977966232,-1.249827742,0.637423433,0.421859016,0.462463932,-0.272955209,0.000000000,0.000000000,true,0,0
1.310000,1.505079125,1.318144965,1.780901126,1.442475291,1.117170726,-0.022674622,-0.973202578,-1.244657406,0.634501073,0.530270316,0.571012470,-0.311372175,0.000000000,0.000000000,true,0,0
1.320000,1.519455310,1.329254539,1.780706051,1.432771541,1.104754467,-0.016345810,-0.967372854,-1.238419307,0.631198883,0.635072917,0.676016568,-0.348921051,0.000000000,0.000000000,true,0,0
1.330000,1.533734767,1.340240279,1.780574093,1.423131267,1.092405781,-0.010051882,-0.960513148,-1.231148890,0.627525546,0.736266819,0.777476225,-0.385601839,0.000000000,0.000000000,true,0,0
1.340000,1.547918181,1.351102914,1.780504885,1.413564591,1.080134812,-0.003796507,-0.952659547,-1.222881598,0.623489740,0.833852020,0.875391442,-0.421414537,0.000000000,0.000000000,true,0,0
1.350000,1.562006337,1.361843267,1.780498023,1.404081269,1.067951353,0.002416734,-0.943848137,-1.213652876,0.619100148,0.927828522,0.969762218,-0.456359146,0.000000000,0.000000000,true,0,0
1.360000,1.576000116,1.372462264,1.780553067,1.394690700,1.055864841,0.008584346,-0.934115006,-1.203498168,0.614365451,1.018196324,1.060588553,-0.490435666,0.000000000,0.000000000,true,0,0
1.370000,1.589900490,1.382960918,1.780669546,1.385401921,1.043884359,0.014702921,-0.923496240,-1.192452919,0.609294329,1.104955427,1.147870448,-0.523644097,0.000000000,0.000000000,true,0,0
